ipo_id,company_name,sector,listing_gain_pct,overall_sub_multiple,qib_sub_multiple,hni_sub_multiple,rii_sub_multiple,allotment_ratio_rii,revenue_cagr_3y,pat_cagr_3y,ebitda_margin,net_margin,roe,roce,debt_equity,interest_coverage,current_ratio,cash_ratio,asset_turnover,receivable_days,inventory_days,promoter_stake_pre,ofs_pct,fresh_issue_pct,issue_size_cr,price_band_high,price_band_low,gmp_t3,gmp_t1,nifty_30d_return,vix_at_open,brlm_reputation_score,anchor_alloc_pct,company_age_yrs,sentiment_score,news_volume_7d
campus_activewear_10,Campus Activewear,Retail,21.0,51.75,101.4,44.8,7.4,0.09,24.6,18.4,18.4,10.8,22.4,24.6,0.32,8.4,2.2,0.8,1.08,38.0,62.0,62.4,100.0,0.0,1400.0,292.0,278.0,22.0,28.0,3.2,17.2,7.8,36.0,14.0,65.0,62.0
harsha_engineers_international_11,Harsha Engineers International,Manufacturing,35.5,74.7,158.4,82.1,10.8,0.07,18.6,22.4,16.8,10.2,24.6,22.8,0.44,8.6,2.4,0.8,1.24,42.0,48.0,70.2,48.0,52.0,755.0,330.0,314.0,28.0,32.0,4.8,15.6,8.2,38.0,28.0,68.0,48.0
swiggy_ltd_12,Swiggy Ltd,Food & Delivery,5.6,3.59,6.8,2.4,0.9,0.58,42.6,-24.8,2.4,-28.4,-18.6,-14.2,1.12,-2.8,2.0,0.5,1.18,18.0,6.0,8.0,44.0,56.0,11327.0,390.0,371.0,4.0,6.0,3.8,14.6,8.8,44.0,8.0,74.0,284.0
mtar_technologies_13,MTAR Technologies,Manufacturing,84.6,200.0,200.0,200.0,41.2,0.06,28.4,38.6,22.4,14.8,32.4,28.6,0.18,14.2,3.2,1.4,1.12,32.0,38.0,72.0,38.0,62.0,596.0,575.0,520.0,62.0,72.0,5.6,14.2,9.0,42.0,18.0,82.0,124.0
happiest_minds_technologies_14,Happiest Minds Technologies,IT Services,111.2,150.98,150.98,150.98,8.21,0.06,42.6,58.4,24.2,16.8,38.4,42.6,0.08,22.4,4.2,1.8,1.28,28.0,4.0,53.0,36.0,64.0,702.0,166.0,165.0,88.0,98.0,4.2,15.8,9.0,46.0,14.0,88.0,168.0
clean_science_and_technology_15,Clean Science and Technology,Manufacturing,97.2,93.3,170.2,114.2,12.8,0.06,38.4,48.6,44.8,32.4,42.6,38.8,0.04,28.4,4.8,2.2,0.98,22.0,28.0,75.0,38.0,62.0,1546.0,900.0,880.0,78.0,86.0,8.2,13.6,9.2,44.0,18.0,84.0,142.0
tatva_chintan_pharma_chem_16,Tatva Chintan Pharma Chem,Healthcare,96.2,180.0,180.0,180.0,22.4,0.06,32.6,42.4,32.8,22.6,36.4,34.2,0.12,22.8,3.8,1.6,0.84,28.0,38.0,74.0,28.0,72.0,500.0,1083.0,1073.0,72.0,82.0,7.4,14.2,9.2,42.0,12.0,82.0,96.0
paras_defence_and_space_techno_17,Paras Defence and Space Technologies,Manufacturing,185.4,304.26,304.26,304.26,108.44,0.04,28.4,38.6,28.4,18.2,32.6,28.8,0.22,12.4,3.4,1.2,0.72,38.0,42.0,55.0,28.0,72.0,171.0,175.0,165.0,128.0,148.0,7.2,15.2,8.8,44.0,14.0,85.0,84.0
tbo_tek_18,TBO Tek,Fintech,89.8,86.99,175.4,41.2,22.8,0.08,38.4,48.6,38.2,28.4,42.6,38.8,0.08,28.4,4.2,1.8,1.42,18.0,4.0,62.0,22.0,78.0,1551.0,920.0,875.0,68.0,78.0,6.4,13.8,9.0,44.0,14.0,84.0,142.0
waaree_energies_19,Waaree Energies,Renewable Energy,70.2,76.34,150.2,42.8,14.6,0.08,58.4,72.6,22.4,14.8,28.6,26.4,0.62,6.4,1.8,0.6,1.38,28.0,32.0,68.0,18.0,82.0,4321.0,1503.0,1427.0,52.0,62.0,5.8,14.2,9.0,44.0,14.0,78.0,184.0
premier_energies_20,Premier Energies,Renewable Energy,88.6,74.11,201.3,36.4,16.2,0.06,48.6,62.4,18.4,12.2,22.4,20.8,0.78,5.2,1.6,0.4,1.42,32.0,38.0,58.0,8.0,92.0,2830.0,450.0,427.0,62.0,72.0,6.2,14.2,9.0,44.0,14.0,80.0,156.0
indegene_limited_21,Indegene Limited,Healthcare,40.4,68.8,157.8,28.4,9.8,0.08,28.4,34.6,26.4,18.2,32.6,30.4,0.14,18.4,3.2,1.2,1.18,42.0,12.0,48.0,22.0,78.0,1842.0,490.0,452.0,32.0,38.0,5.4,14.2,9.0,42.0,22.0,76.0,118.0
medplus_health_services_22,Medplus Health Services,Healthcare,42.2,52.59,151.2,26.4,5.4,0.08,22.4,28.6,12.8,7.6,18.4,16.2,0.32,8.4,1.8,0.6,1.68,18.0,28.0,44.0,30.0,70.0,1398.0,1096.0,796.0,22.0,28.0,4.8,15.6,8.8,40.0,16.0,72.0,88.0
devyani_international_23,Devyani International,Consumer,47.4,112.0,180.4,71.2,18.4,0.06,28.4,18.6,16.4,8.2,14.6,12.8,0.84,4.8,0.8,0.2,1.62,8.0,12.0,26.0,26.0,74.0,1838.0,90.0,86.0,38.0,46.0,7.2,13.6,8.8,40.0,10.0,74.0,142.0
nazara_technologies_24,Nazara Technologies,IT Services,79.6,175.46,175.46,175.46,87.8,0.06,38.6,28.4,14.2,8.4,12.6,11.8,0.18,8.4,3.2,1.2,0.62,28.0,4.0,38.0,28.0,72.0,583.0,1101.0,1100.0,62.0,74.0,5.8,15.2,8.8,42.0,18.0,80.0,128.0
mapmyindia_ce_info_systems_25,MapmyIndia (CE Info Systems),IT Services,53.4,154.71,154.71,154.71,117.8,0.06,28.4,34.6,42.8,28.4,38.6,36.4,0.08,28.4,4.8,2.2,0.82,22.0,4.0,62.0,20.0,80.0,1040.0,1033.0,1000.0,46.0,54.0,6.2,14.8,9.0,44.0,22.0,82.0,98.0
data_patterns_india_26,Data Patterns India,Manufacturing,75.4,119.71,119.71,119.71,100.2,0.06,28.4,38.6,28.4,18.2,34.6,32.8,0.12,22.4,4.2,1.6,0.58,38.0,42.0,56.0,18.0,82.0,588.0,585.0,555.0,58.0,68.0,4.8,15.6,9.0,42.0,18.0,78.0,72.0
adani_wilmar_27,Adani Wilmar,Consumer,44.2,17.37,22.4,18.8,8.4,0.32,18.4,22.6,6.4,4.2,16.4,14.8,0.68,4.8,1.4,0.3,1.84,28.0,28.0,44.0,24.0,76.0,3600.0,230.0,218.0,18.0,24.0,4.2,17.2,8.8,38.0,28.0,65.0,156.0
esaf_small_finance_bank_28,ESAF Small Finance Bank,BFSI,33.2,73.36,110.4,42.8,14.6,0.08,28.4,34.6,22.4,8.4,14.6,12.8,8.4,1.8,1.2,0.2,0.12,0.0,0.0,64.0,8.0,92.0,463.0,60.0,57.0,18.0,24.0,3.8,16.4,7.8,36.0,18.0,68.0,72.0
vijaya_diagnostics_centre_29,Vijaya Diagnostics Centre,Healthcare,28.4,30.47,68.4,22.8,4.8,0.12,18.4,22.6,28.4,18.6,22.4,24.8,0.08,18.4,3.8,1.6,0.62,28.0,8.0,56.0,42.0,58.0,894.0,531.0,522.0,14.0,18.0,5.6,14.8,8.8,40.0,16.0,68.0,68.0
aadhar_housing_finance_30,Aadhar Housing Finance,BFSI,20.2,25.49,58.4,14.2,4.4,0.16,22.4,28.6,24.8,14.6,12.4,10.8,5.8,2.2,1.4,0.3,0.18,0.0,0.0,72.0,42.0,58.0,3000.0,315.0,300.0,12.0,16.0,4.2,15.6,8.5,40.0,18.0,65.0,88.0
bharti_hexacom_31,Bharti Hexacom,IT Services,26.8,29.87,68.4,18.4,5.2,0.14,14.6,18.4,38.4,18.4,18.6,22.4,1.28,4.8,1.2,0.3,0.28,18.0,8.0,70.0,100.0,0.0,4275.0,570.0,542.0,18.0,22.0,5.2,14.2,9.0,40.0,32.0,70.0,168.0
metro_brands_32,Metro Brands,Retail,19.8,23.05,45.8,17.4,4.2,0.16,18.4,22.6,16.8,10.4,22.4,26.4,0.08,22.4,2.8,1.0,1.12,38.0,62.0,42.0,36.0,64.0,1367.0,500.0,485.0,12.0,16.0,5.4,14.8,8.8,40.0,22.0,65.0,84.0
gr_infraprojects_33,GR Infraprojects,Infrastructure,17.6,102.58,204.2,81.4,12.6,0.06,18.4,22.6,14.8,8.6,18.4,16.8,0.62,6.4,1.4,0.3,0.68,42.0,28.0,22.0,18.0,82.0,963.0,837.0,837.0,8.0,12.0,6.2,15.4,8.5,40.0,18.0,68.0,88.0
irfc_34,IRFC,BFSI,11.2,3.49,5.2,3.12,1.88,0.42,18.4,22.6,98.4,88.4,12.4,10.8,9.4,1.6,1.2,0.4,0.08,0.0,0.0,100.0,100.0,0.0,4633.0,26.0,25.0,4.0,6.0,-1.4,18.4,8.0,32.0,35.0,58.0,142.0
ease_my_trip_35,Ease My Trip,Consumer,16.4,159.31,159.31,159.31,24.2,0.06,42.6,58.4,28.4,18.6,38.4,36.2,0.04,28.4,4.8,2.2,1.42,18.0,4.0,72.0,28.0,72.0,510.0,187.0,186.0,12.0,16.0,4.8,16.2,8.5,42.0,10.0,68.0,96.0
stove_kraft_36,Stove Kraft,Consumer,12.2,10.71,17.4,8.6,2.8,0.28,14.6,18.4,12.4,6.8,16.4,14.8,0.44,6.4,1.8,0.4,0.94,38.0,42.0,58.0,58.0,42.0,413.0,385.0,384.0,8.0,10.0,3.8,17.2,7.8,36.0,22.0,62.0,52.0
sapphire_foods_india_37,Sapphire Foods India,Consumer,15.2,5.96,10.4,5.6,2.0,0.38,18.4,14.6,14.2,6.4,12.4,10.8,1.42,3.8,0.8,0.2,1.48,8.0,14.0,28.0,28.0,72.0,2073.0,1120.0,1120.0,6.0,8.0,5.6,15.4,8.5,40.0,14.0,62.0,124.0
sjs_enterprises_38,SJS Enterprises,Manufacturing,8.6,37.53,76.4,22.8,8.2,0.09,14.6,18.4,22.4,14.2,22.4,20.6,0.22,14.4,2.8,1.0,0.92,42.0,38.0,48.0,28.0,72.0,800.0,542.0,531.0,4.0,6.0,4.2,16.4,8.0,38.0,18.0,62.0,62.0
krsnaa_diagnostics_39,Krsnaa Diagnostics,Healthcare,9.2,64.4,128.4,42.8,8.6,0.06,18.4,22.6,28.4,14.6,18.4,16.8,0.42,8.4,2.2,0.8,0.62,28.0,8.0,46.0,34.0,66.0,1214.0,933.0,906.0,6.0,8.0,6.2,14.8,8.8,40.0,12.0,62.0,72.0
cams_computer_age_management_s_40,CAMS - Computer Age Management Services,Fintech,18.6,46.99,46.99,46.99,13.4,0.07,12.4,14.6,38.4,28.6,34.6,32.4,0.04,48.4,3.8,1.6,0.82,22.0,4.0,60.0,60.0,40.0,2244.0,1230.0,1229.0,14.0,18.0,4.8,16.4,9.0,38.0,18.0,70.0,88.0
railtel_corporation_41,RailTel Corporation,IT Services,11.8,42.4,96.4,22.4,5.8,0.1,14.6,18.4,14.8,8.4,12.4,10.8,0.18,8.4,1.8,0.6,0.48,28.0,8.0,100.0,100.0,0.0,819.0,94.0,93.0,8.0,10.0,2.8,18.4,8.5,38.0,24.0,62.0,84.0
burger_king_india_42,Burger King India,Consumer,91.8,156.65,156.65,156.65,18.6,0.06,28.4,-12.4,12.4,-8.6,-4.2,-2.8,1.28,-1.4,0.8,0.2,1.68,8.0,16.0,52.0,20.0,80.0,810.0,60.0,59.0,78.0,86.0,-4.2,22.4,9.0,44.0,16.0,78.0,124.0
indiamart_intermesh_43,IndiaMart InterMesh,E-Commerce,21.2,33.68,42.6,26.4,7.8,0.14,22.4,38.6,22.4,18.2,28.4,32.6,0.04,38.4,4.2,2.0,0.62,14.0,2.0,62.0,18.0,82.0,476.0,973.0,970.0,16.0,20.0,5.8,15.6,8.8,40.0,24.0,72.0,96.0
aptus_value_housing_finance_44,Aptus Value Housing Finance,BFSI,17.2,17.21,34.4,9.4,3.2,0.18,28.4,34.6,42.4,28.6,14.6,12.8,4.8,2.8,1.4,0.4,0.14,0.0,0.0,74.0,24.0,76.0,2780.0,353.0,346.0,10.0,14.0,5.6,14.8,8.5,40.0,14.0,65.0,72.0
cartrade_tech_45,CarTrade Tech,E-Commerce,-9.8,20.29,30.4,18.6,6.4,0.22,8.4,-22.4,12.4,-8.4,-4.2,-2.8,0.08,-2.4,4.8,2.2,0.38,18.0,4.0,46.0,100.0,0.0,2999.0,1618.0,1585.0,-6.0,-2.0,7.2,13.8,8.0,40.0,14.0,60.0,68.0
star_health_and_allied_insuran_46,Star Health and Allied Insurance,Insurance,-6.8,79.28,93.4,56.2,14.6,0.06,18.4,-12.4,6.4,-2.8,-1.8,-0.8,0.12,-0.6,1.2,0.3,0.18,0.0,0.0,58.0,48.0,52.0,7249.0,900.0,900.0,-4.0,-2.0,-1.4,17.6,9.0,44.0,14.0,55.0,198.0
shriram_properties_47,Shriram Properties,Infrastructure,-12.4,5.74,5.72,4.64,2.82,0.42,8.4,-18.4,12.4,4.8,4.2,3.8,1.84,2.4,1.4,0.3,0.22,62.0,0.0,58.0,60.0,40.0,600.0,118.0,113.0,-8.0,-4.0,-2.4,19.8,7.5,36.0,28.0,50.0,62.0
nuvoco_vistas_corporation_48,Nuvoco Vistas Corporation,Infrastructure,-3.8,2.73,2.26,2.16,2.44,0.62,8.4,-14.6,18.4,4.8,4.2,3.8,1.62,2.2,1.4,0.3,0.62,42.0,28.0,58.0,58.0,42.0,5000.0,570.0,560.0,-2.0,0.0,3.2,16.8,8.0,38.0,52.0,52.0,84.0
windlas_biotech_49,Windlas Biotech,Healthcare,-10.8,10.62,12.42,9.84,3.12,0.32,14.6,8.4,14.2,8.4,12.4,10.8,0.42,6.4,1.8,0.6,0.88,38.0,42.0,52.0,52.0,48.0,401.0,460.0,448.0,-4.0,-2.0,3.4,16.8,7.8,38.0,20.0,52.0,48.0
ags_transact_technologies_50,AGS Transact Technologies,Fintech,-39.2,1.48,0.42,0.88,1.48,0.82,8.4,-18.4,8.4,2.4,4.2,3.8,2.84,1.4,1.2,0.2,0.62,48.0,42.0,46.0,68.0,32.0,680.0,175.0,166.0,-22.0,-14.0,0.8,18.6,7.5,36.0,24.0,42.0,52.0
supriya_lifescience_51,Supriya Lifescience,Healthcare,116.4,71.52,71.52,71.52,44.2,0.06,28.4,38.6,38.4,26.4,36.4,34.2,0.28,18.4,3.8,1.6,0.88,32.0,42.0,62.0,22.0,78.0,500.0,274.0,265.0,88.0,96.0,7.2,14.2,9.0,42.0,14.0,84.0,84.0
go_digit_general_insurance_52,Go Digit General Insurance,Insurance,4.8,13.41,20.4,8.6,2.8,0.28,22.4,14.6,14.8,4.8,8.4,7.2,0.18,4.8,1.4,0.4,0.18,0.0,0.0,48.0,52.0,48.0,2614.0,272.0,258.0,2.0,4.0,3.8,15.4,8.8,40.0,14.0,58.0,96.0
afcons_infrastructure_53,Afcons Infrastructure,Infrastructure,-8.6,2.64,3.82,2.14,0.98,0.64,14.6,8.4,8.4,3.8,8.4,7.2,1.28,3.2,1.4,0.3,0.68,48.0,38.0,66.0,34.0,66.0,5430.0,463.0,440.0,-4.0,-2.0,2.8,15.8,8.5,40.0,58.0,52.0,128.0
ntpc_green_energy_54,NTPC Green Energy,Renewable Energy,3.2,2.55,2.5,2.08,2.4,0.64,18.4,22.6,28.4,14.8,8.4,7.8,2.42,2.8,1.2,0.3,0.18,0.0,0.0,100.0,100.0,0.0,10000.0,108.0,102.0,0.0,2.0,4.2,15.2,8.5,38.0,44.0,55.0,168.0
sagility_india_55,Sagility India,Healthcare,5.2,3.06,4.82,2.68,1.14,0.52,18.4,22.6,24.8,14.2,12.4,10.8,0.42,8.4,1.8,0.6,0.62,32.0,8.0,0.0,100.0,0.0,2107.0,30.0,28.0,2.0,4.0,3.8,15.4,8.5,40.0,18.0,58.0,88.0
jana_small_finance_bank_56,Jana Small Finance Bank,BFSI,9.8,9.41,16.4,6.8,2.4,0.34,18.4,22.6,22.4,8.4,8.4,7.2,7.84,1.6,1.2,0.2,0.12,0.0,0.0,40.0,34.0,66.0,570.0,414.0,393.0,4.0,6.0,2.8,16.8,7.8,36.0,20.0,58.0,62.0
manba_finance_57,Manba Finance,BFSI,7.8,22.4,42.4,14.8,4.2,0.18,22.4,28.6,18.4,8.4,12.4,10.8,3.84,2.8,1.4,0.3,0.18,0.0,0.0,58.0,28.0,72.0,151.0,120.0,114.0,4.0,6.0,3.2,16.4,7.5,36.0,14.0,60.0,42.0
fincare_small_finance_bank_58,Fincare Small Finance Bank,BFSI,-4.8,2.86,3.84,2.62,1.42,0.52,14.6,8.4,18.4,6.4,8.4,7.2,6.84,1.4,1.2,0.2,0.12,0.0,0.0,52.0,18.0,82.0,625.0,321.0,304.0,-2.0,0.0,2.4,16.8,7.8,36.0,14.0,54.0,48.0
jyoti_cnc_automation_59,Jyoti CNC Automation,Manufacturing,8.2,59.49,178.2,28.4,8.8,0.08,18.4,22.6,18.4,10.4,18.4,16.8,0.62,8.4,1.8,0.6,0.88,42.0,48.0,50.0,18.0,82.0,1000.0,331.0,315.0,4.0,6.0,4.2,15.6,8.5,40.0,28.0,62.0,68.0
doms_industries_60,DOMS Industries,Consumer,43.2,93.84,154.4,68.4,18.2,0.06,22.4,28.6,18.4,12.4,22.4,20.8,0.28,12.4,2.4,0.8,1.24,38.0,42.0,62.0,18.0,82.0,1200.0,790.0,750.0,32.0,38.0,6.4,14.2,9.0,42.0,28.0,74.0,84.0
cello_world_61,Cello World,Consumer,24.4,91.07,185.2,54.8,16.4,0.06,18.4,22.6,22.4,14.8,28.4,26.6,0.18,14.4,2.8,1.0,1.28,38.0,28.0,22.0,28.0,4.8,14.8,8.8,40.0,38.0,68.0,78.0,,,,,,
emcure_pharmaceuticals_62,Emcure Pharmaceuticals,Healthcare,32.6,66.79,155.8,28.4,8.8,0.06,18.4,22.6,22.4,12.8,18.4,16.8,0.84,6.4,1.8,0.6,0.82,38.0,38.0,24.0,30.0,5.4,14.8,8.8,40.0,38.0,70.0,118.0,,,,,,
le_travenues_technology_ixigo_63,Le Travenues Technology (Ixigo),Fintech,24.8,98.35,186.4,52.8,14.8,0.06,38.4,48.6,18.4,8.4,12.4,10.8,0.08,12.4,3.4,1.4,1.28,14.0,2.0,42.0,30.0,70.0,740.0,138.0,135.0,18.0,24.0,6.4,14.2,9.0,42.0,14.0,72.0,124.0
exicom_tele_systems_64,Exicom Tele-Systems,Manufacturing,45.8,121.17,121.17,121.17,108.4,0.06,28.4,38.6,18.4,12.2,22.4,20.8,0.32,12.4,2.4,0.8,1.12,38.0,42.0,36.0,42.0,5.8,14.2,8.8,40.0,28.0,74.0,96.0,,,,,,
r_k_swamy_65,R K Swamy,Consumer,12.2,43.2,108.4,18.4,5.8,0.1,14.6,18.4,18.4,10.4,18.4,16.8,0.22,12.4,2.8,1.0,0.82,28.0,12.0,62.0,38.0,62.0,423.0,288.0,270.0,8.0,10.0,4.2,15.6,8.0,38.0,52.0,62.0,52.0
rashi_peripherals_66,Rashi Peripherals,IT Services,9.4,9.41,14.4,8.6,2.6,0.32,18.4,14.6,4.8,2.4,14.6,12.8,0.62,6.4,1.4,0.3,2.84,14.0,28.0,38.0,22.0,78.0,600.0,310.0,295.0,4.0,6.0,4.8,15.6,8.0,38.0,22.0,60.0,62.0
synthetic_ipo_100_infr_67,Synthetic IPO 100 (Infr),Infrastructure,54.49596527487134,25.8782428970568,85.03166442894668,18.88007480729796,9.140995509125442,0.10939727505627822,29.675093422520455,19.688490445401143,33.03518379890263,20.66675161257369,30.528245580489727,37.01792965574426,0.3053126176123748,9.205586995855006,2.1827220321820393,0.9888136986949041,1.2602371151298803,49.14881256805163,36.14731402457792,73.78450301307272,29.001481780274943,70.99851821972506,586.1642006015766,177.93409076281836,171.91276451715137,35.378440911368486,36.56181541697982,8.715889170883568,15.058157627035374,8.7227352589656,35.27874818429977,9.755187843087604,72.55256364476847,193.0
synthetic_ipo_101_rene_68,Synthetic IPO 101 (Rene),Renewable Energy,-13.59977029031126,3.4373771934580257,9.13849109084705,2.5196765218656987,1.0871575254531414,0.9198299019115809,12.891193986899841,-7.374235483229192,9.971430223585518,-11.646066768379766,3.146962756862738,-2.3242093051110855,0.3342753441154669,1.3606575672853973,1.3758666994077835,0.6561482511009236,1.2761941416271072,31.591210304951986,30.378095366150713,27.944410185608067,53.50019873161985,46.49980126838015,658.669447039985,271.30435126775774,256.99118471330394,-7.751422512266837,-9.011486309819151,-0.3331488560139224,12.641643141995166,8.274622683673185,45.977285952430115,19.424257360705653,65.93929573481276,24.0
synthetic_ipo_102_heal_69,Synthetic IPO 102 (Heal),Healthcare,13.654201900459292,10.056888707200185,28.547989077948124,6.039670894000838,3.419115102776517,0.29247333591897584,12.714183618580932,14.0999529498215,12.821676920609569,6.0913105300083545,8.824962126465762,16.43486240392791,0.7942239976717727,8.339593528089832,1.1378083778559756,0.4434573969253152,1.0950942409329112,29.087750664548082,6.30913218417318,61.315391525619006,43.03029030981153,56.96970969018847,759.8456595572131,269.1843663198555,255.85968081865133,8.61361350364677,9.537104424177006,2.8438676963977505,17.920924412372187,7.331732516546147,28.181436614461212,22.344236435458573,61.20281789093601,20.0
synthetic_ipo_103_cons_70,Synthetic IPO 103 (Cons),Consumer,-12.207885463743553,3.0437042910468857,11.619570849804846,2.299687397491999,0.46544134432641476,0.95,12.199966839717652,7.183751504808733,15.814231130567324,-18.590334412095363,-17.28196991146238,-1.2072436504368385,2.168088996731663,2.7137421182990185,0.8953262756377375,0.398492810599725,0.9436836454334459,53.989703461814656,30.35572851168017,56.949543368293426,43.60226502218868,56.39773497781132,16741.58739802199,151.56928199522036,142.27498347590128,-11.397515327497477,-12.356462561584873,5.270845849375343,12.961176714069023,6.398651081954953,38.67714191856252,11.87903200940192,36.8810887031337,38.0
synthetic_ipo_104_manu_71,Synthetic IPO 104 (Manu),Manufacturing,-35.09619533645228,2.0273841818533382,6.937062038491297,1.6053790853427983,0.4754646329374267,0.95,5.007044014608479,-43.69887532834049,2.569739593453436,5.0,-3.43670574232537,6.827395110230576,0.7279065902141024,0.5495478709284936,1.333821660444624,0.511655751688901,1.4425154840239556,44.4313465769242,51.03633987993988,65.0,50.21503977396105,49.78496022603895,977.6499405443045,323.99874203601576,310.6544056704065,3.38489203736345,3.7854041198521156,5.343304558410171,19.318005225120473,7.807960772884691,43.75506001091085,13.89072769166263,37.16487386295569,77.0
synthetic_ipo_105_fint_72,Synthetic IPO 105 (Fint),Fintech,21.0,126.03711728924998,311.9310197319774,99.60162844375778,27.183303938900135,0.05,13.92954317956512,19.263275772530083,39.78932576626637,14.922884720304396,26.9345014309121,39.69155433793762,0.3464990192033567,12.026974385702053,1.390593469788186,0.48635702155662536,0.7216229553317188,34.64211774679251,31.637451869068325,64.94878133279929,26.731142029509748,73.26885797049025,433.1753118598376,227.37458499996325,217.53455626150267,48.43936371997334,54.138610205310336,8.211031301218416,17.014346311011778,9.12196939663843,52.69918485954195,16.454943207500996,89.25985489050973,125.0
synthetic_ipo_106_it_s_73,Synthetic IPO 106 (IT S),IT Services,10.723918253022994,20.738739961666862,63.49309603533279,16.200014649180233,2.5763147853416406,0.38815132595196117,5.755905987140977,9.274343888292108,30.0,17.384223056408352,10.880539896647079,12.563083192254119,0.7446815010771022,10.6175608626647,0.9131819018436037,0.5390875929548736,1.3109350304246976,44.52149111699928,22.35765893154851,41.79282627158948,31.91707119864407,68.08292880135593,242.51548374519382,124.26500567619874,118.8368008620956,-5.0,-5.43308851774198,5.566222203762038,20.586092933216776,7.882336343580355,34.1051433725741,15.547221540578903,60.37334079455092,38.0
