revenue_cagr_3y,pat_cagr_3y,ebitda_margin,net_margin,roe,roce,debt_equity,interest_coverage,current_ratio,asset_turnover,receivable_days,inventory_days,promoter_stake_pre,ofs_pct,fresh_issue_pct,log_issue_size_cr,price_band_width_pct,gmp_t3,gmp_t1,nifty_30d_return,vix_at_open,sector_code,brlm_reputation_score,anchor_alloc_pct,company_age_yrs,qib_sub_multiple,hni_sub_multiple,rii_sub_multiple,overall_sub_multiple,allotment_ratio_rii,sentiment_score,news_volume_7d,profitability_score,growth_score,liquidity_score,solvency_score,efficiency_score,listing_gain_pct,risk_label,confidence_score,company_name,sector,ipo_id
24.6,18.4,18.4,10.8,22.4,24.6,0.32,8.4,2.2,1.08,38.0,62.0,62.4,100.0,0.0,7.244941546337007,5.0359712230215825,22.0,28.0,3.2,17.2,9,7.8,36.0,14.0,101.4,44.8,7.4,51.75,0.09,65.0,62.0,55.739038995120396,45.379500917685725,32.5,61.80152197546203,24.980520492441954,21.0,Low,52.4,CampusActivewear,Retail,campus_activewear_10
18.6,22.4,16.8,10.2,24.6,22.8,0.44,8.6,2.4,1.24,42.0,48.0,70.2,48.0,52.0,6.628041376179533,5.095541401273886,28.0,32.0,4.8,15.6,5,8.2,38.0,28.0,158.4,82.1,10.8,74.7,0.07,68.0,48.0,55.340116134864424,42.12859541173704,35.0,61.34570585494642,32.289231728221914,35.5,Low,54.5,HarshaEngineersInternational,Manufacturing,harsha_engineers_international_11
42.6,-24.8,2.4,-28.4,-18.6,-14.2,1.12,-2.8,2.0,1.18,18.0,6.0,8.0,44.0,56.0,9.3350328159335,5.121293800539084,4.0,6.0,3.8,14.6,9,8.8,44.0,8.0,6.8,2.4,0.9,3.59,0.58,74.0,284.0,19.811873407071104,43.576661879976214,22.5,47.32722472433608,67.04846501480444,5.6,Medium,45.5,SwiggyLtd,Food&Delivery,swiggy_ltd_12
28.4,38.6,22.4,14.8,32.4,28.6,0.18,14.2,3.2,1.12,32.0,38.0,72.0,38.0,62.0,6.391917113392602,10.576923076923077,62.0,72.0,5.6,14.2,5,9.0,42.0,18.0,200.0,200.0,41.2,200.0,0.06,82.0,124.0,61.71516863521579,55.85816082453964,60.0,67.83817362944556,41.592644537946086,84.6,Low,63.8,MTARTechnologies,Manufacturing,mtar_technologies_13
42.6,58.4,24.2,16.8,38.4,42.6,0.08,22.4,4.2,1.28,28.0,4.0,53.0,36.0,64.0,6.555356891810665,0.6060606060606061,88.0,98.0,4.2,15.8,9,9.0,46.0,14.0,150.98,150.98,8.21,150.98,0.06,88.0,168.0,68.96159827233603,74.39147669479104,82.5,75.85184034788011,63.95511921458626,111.2,Low,73.7,HappiestMindsTechnologies,ITServices,happiest_minds_technologies_14
38.4,48.6,44.8,32.4,42.6,38.8,0.04,28.4,4.8,0.98,22.0,28.0,75.0,38.0,62.0,7.344072850573066,2.272727272727273,78.0,86.0,8.2,13.6,5,9.2,44.0,18.0,170.2,114.2,12.8,93.3,0.06,84.0,142.0,76.37009408590248,67.44917617396028,100.0,81.53905886007144,50.65451145395045,97.2,Low,73.5,CleanScienceandTechnology,Manufacturing,clean_science_and_technology_15
32.6,42.4,32.8,22.6,36.4,34.2,0.12,22.8,3.8,0.84,28.0,38.0,74.0,28.0,72.0,6.2166061010848646,0.9319664492078285,72.0,82.0,7.4,14.2,2,9.2,42.0,12.0,180.0,180.0,22.4,180.0,0.06,82.0,96.0,68.51822336350159,60.578239123148165,72.5,76.00403789408294,40.361539660277394,96.2,Low,66.9,TatvaChintanPharmaChem,Healthcare,tatva_chintan_pharma_chem_16
28.4,38.6,28.4,18.2,32.6,28.8,0.22,12.4,3.4,0.72,38.0,42.0,55.0,28.0,72.0,5.147494476813453,6.0606060606060606,128.0,148.0,7.2,15.2,5,8.8,44.0,14.0,304.26,304.26,108.44,304.26,0.04,85.0,84.0,63.7951151161799,55.85816082453964,57.49999999999999,65.9830719055754,31.385382577528446,185.4,Low,63.7,ParasDefenceandSpaceTechnologies,Manufacturing,paras_defence_and_space_techno_17
38.4,48.6,38.2,28.4,42.6,38.8,0.08,28.4,4.2,1.42,18.0,4.0,62.0,22.0,78.0,7.347299700743164,5.142857142857142,68.0,78.0,6.4,13.8,1,9.0,44.0,14.0,175.4,41.2,22.8,86.99,0.08,84.0,142.0,74.17605386353492,67.44917617396028,82.5,81.32629290262463,71.02228455664641,89.8,Low,76.5,TBOTek,Fintech,tbo_tek_18
58.4,72.6,22.4,14.8,28.6,26.4,0.62,6.4,1.8,1.38,28.0,32.0,68.0,18.0,82.0,8.371473537066832,5.325858444288718,52.0,62.0,5.8,14.2,9,9.0,44.0,14.0,150.2,42.8,14.6,76.34,0.08,78.0,184.0,59.829185687654274,92.11268835428305,22.5,58.380959776362786,50.10908524232508,70.2,Low,63.3,WaareeEnergies,RenewableEnergy,waaree_energies_19
48.6,62.4,18.4,12.2,22.4,20.8,0.78,5.2,1.6,1.42,32.0,38.0,58.0,8.0,92.0,7.9483852851118995,5.386416861826698,62.0,72.0,6.2,14.2,9,9.0,44.0,14.0,201.3,36.4,16.2,74.11,0.06,80.0,156.0,54.72095187390828,80.60534516370268,15.0,56.43500543562666,45.21583294374318,88.6,Low,60.4,PremierEnergies,RenewableEnergy,premier_energies_20
28.4,34.6,26.4,18.2,32.6,30.4,0.14,18.4,3.2,1.18,42.0,12.0,48.0,22.0,78.0,7.519149957669823,8.4070796460177,32.0,38.0,5.4,14.2,2,9.0,42.0,22.0,157.8,28.4,9.8,68.8,0.08,76.0,118.0,63.87880816174344,54.376679343058164,55.0,71.88305637521353,50.9194327567399,40.4,Low,64.9,IndegeneLimited,Healthcare,indegene_limited_21
22.4,28.6,12.8,7.6,18.4,16.2,0.32,8.4,1.8,1.68,18.0,28.0,44.0,30.0,70.0,7.243512974665482,20.0,22.0,28.0,4.8,15.6,2,8.8,40.0,16.0,151.2,26.4,5.4,52.59,0.08,72.0,88.0,49.89854898778509,47.42207013340577,22.5,61.80152197546203,61.259155368552285,42.2,Low,58.8,MedplusHealthServices,Healthcare,medplus_health_services_22
28.4,18.6,16.4,8.2,14.6,12.8,0.84,4.8,0.8,1.62,8.0,12.0,26.0,26.0,74.0,7.516977224604321,4.651162790697675,38.0,46.0,7.2,13.6,6,8.8,40.0,10.0,180.4,71.2,18.4,112.0,0.06,74.0,142.0,48.52845264911828,48.45075341713223,0.0,55.7508929958068,74.51301231104878,47.4,Low,61.4,DevyaniInternational,Consumer,devyani_international_23
38.6,28.4,14.2,8.4,12.6,11.8,0.18,8.4,3.2,0.62,28.0,4.0,38.0,28.0,72.0,6.369900982828227,0.09090909090909091,62.0,74.0,5.8,15.2,9,8.8,42.0,18.0,175.46,175.46,87.8,175.46,0.06,80.0,128.0,47.1293686711755,60.12544092539314,55.0,62.54620282652586,55.98410472183264,79.6,Low,58.8,NazaraTechnologies,ITServices,nazara_technologies_24
28.4,34.6,42.8,28.4,38.6,36.4,0.08,28.4,4.8,0.82,22.0,4.0,62.0,20.0,80.0,6.947937068614969,3.3000000000000003,46.0,54.0,6.2,14.8,9,9.0,44.0,22.0,154.71,154.71,117.8,154.71,0.06,82.0,98.0,73.19691114200735,54.376679343058164,100.0,81.32629290262463,61.62537011064361,53.4,Low,73.5,MapmyIndia(CEInfoSystems),ITServices,mapmyindia_ce_info_systems_25
28.4,38.6,28.4,18.2,34.6,32.8,0.12,22.4,4.2,0.58,38.0,42.0,56.0,18.0,82.0,6.3784261836515865,5.405405405405405,58.0,68.0,4.8,15.6,5,9.0,42.0,18.0,119.71,119.71,100.2,119.71,0.06,78.0,72.0,65.73510614121227,55.85816082453964,77.5,75.63907439043331,29.694561321489797,75.4,Low,62.2,DataPatternsIndia,Manufacturing,data_patterns_india_26
18.4,22.6,6.4,4.2,16.4,14.8,0.68,4.8,1.4,1.84,28.0,28.0,44.0,24.0,76.0,8.188966863648876,5.5045871559633035,18.0,24.0,4.2,17.2,6,8.8,38.0,28.0,22.4,18.8,8.4,17.37,0.32,65.0,156.0,46.782682526737894,42.04492325289677,9.999999999999998,56.60195682559404,57.81517843228924,44.2,Low,54.5,AdaniWilmar,Consumer,adani_wilmar_27
28.4,34.6,22.4,8.4,14.6,12.8,8.4,1.8,1.2,0.12,0.0,0.0,64.0,8.0,92.0,6.139884552226255,5.263157894736842,18.0,24.0,3.8,16.4,4,7.8,36.0,18.0,110.4,42.8,14.6,73.36,0.08,68.0,72.0,49.912884876063984,54.376679343058164,4.999999999999999,12.800900760987735,67.14975845410628,33.2,Low,58.8,ESAFSmallFinanceBank,BFSI,esaf_small_finance_bank_28
18.4,22.6,28.4,18.6,22.4,24.8,0.08,18.4,3.8,0.62,28.0,8.0,56.0,42.0,58.0,6.796823718274855,1.7241379310344827,14.0,18.0,5.6,14.8,2,8.8,40.0,16.0,68.4,22.8,4.8,30.47,0.12,68.0,68.0,59.43885028245417,42.04492325289677,72.5,72.20220531138375,53.83356708742403,28.4,Low,60.9,VijayaDiagnosticsCentre,Healthcare,vijaya_diagnostics_centre_29
22.4,28.6,24.8,14.6,12.4,10.8,5.8,2.2,1.4,0.18,0.0,0.0,72.0,42.0,58.0,8.006700845440367,5.0,12.0,16.0,4.2,15.6,4,8.5,40.0,18.0,58.4,14.2,4.4,25.49,0.16,65.0,88.0,50.219315366579394,47.42207013340577,9.999999999999998,26.995651498679923,67.8743961352657,20.2,Low,58.2,AadharHousingFinance,BFSI,aadhar_housing_finance_30
14.6,18.4,38.4,18.4,18.6,22.4,1.28,4.8,1.2,0.28,18.0,8.0,70.0,100.0,0.0,8.360773272144936,5.166051660516605,18.0,22.0,5.2,14.2,9,9.0,40.0,32.0,68.4,18.4,5.2,29.87,0.14,70.0,168.0,59.69889074343854,37.49218927196878,7.499999999999998,53.410467463891905,55.10363098020881,26.8,Low,61.9,BhartiHexacom,ITServices,bharti_hexacom_31
18.4,22.6,16.8,10.4,22.4,26.4,0.08,22.4,2.8,1.12,38.0,62.0,42.0,36.0,64.0,7.221105098182496,3.0927835051546393,12.0,16.0,5.4,14.8,9,8.8,40.0,22.0,45.8,17.4,4.2,23.05,0.16,65.0,84.0,55.90830403763184,42.04492325289677,45.0,75.85184034788011,25.463612279881563,19.8,Medium,52.5,MetroBrands,Retail,metro_brands_32
18.4,22.6,14.8,8.6,18.4,16.8,0.62,6.4,1.4,0.68,42.0,28.0,22.0,18.0,82.0,6.871091294610546,0.0,8.0,12.0,6.2,15.4,7,8.5,40.0,18.0,204.2,81.4,12.6,102.58,0.06,68.0,88.0,50.7257460937367,42.04492325289677,9.999999999999998,58.380959776362786,36.27863487611034,17.6,Medium,53.0,GRInfraprojects,Infrastructure,gr_infraprojects_33
18.4,22.6,98.4,88.4,12.4,10.8,9.4,1.6,1.2,0.08,0.0,0.0,100.0,100.0,0.0,8.441175704992322,4.0,4.0,6.0,-1.4,18.4,4,8.0,32.0,35.0,5.2,3.12,1.88,3.49,0.42,58.0,142.0,79.86977113832563,42.04492325289677,10.0,7.299270072992702,66.66666666666667,11.2,Medium,70.7,IRFC,BFSI,irfc_34
42.6,58.4,28.4,18.6,38.4,36.2,0.04,28.4,4.8,1.42,18.0,4.0,72.0,28.0,72.0,6.236369590203704,0.5376344086021506,12.0,16.0,4.8,16.2,6,8.5,42.0,10.0,159.31,159.31,24.2,159.31,0.06,68.0,96.0,68.09211181604653,74.39147669479104,100.0,81.53905886007144,71.02228455664641,16.4,Medium,68.7,EaseMyTrip,Consumer,ease_my_trip_35
14.6,18.4,12.4,6.8,16.4,14.8,0.44,6.4,1.8,0.94,38.0,42.0,58.0,58.0,42.0,6.025865973825314,0.26041666666666663,8.0,10.0,3.8,17.2,6,7.8,36.0,22.0,17.4,8.6,2.8,10.71,0.28,62.0,52.0,48.593251117319966,37.49218927196878,17.5,59.338406584873425,34.04238740844632,12.2,Medium,49.7,StoveKraft,Consumer,stove_kraft_36
18.4,14.6,14.2,6.4,12.4,10.8,1.42,3.8,0.8,1.48,8.0,14.0,28.0,28.0,72.0,7.637234388789473,0.0,6.0,8.0,5.6,15.4,6,8.5,40.0,14.0,10.4,5.6,2.0,5.96,0.38,62.0,124.0,46.38025593230863,39.08196028993381,0.0,51.753377853703995,71.74692223780583,15.2,Medium,56.1,SapphireFoodsIndia,Consumer,sapphire_foods_india_37
14.6,18.4,22.4,14.2,22.4,20.6,0.22,14.4,2.8,0.92,42.0,38.0,48.0,28.0,72.0,6.68586094706836,2.0715630885122414,4.0,6.0,4.2,16.4,5,8.0,38.0,18.0,76.4,22.8,8.2,37.53,0.09,62.0,62.0,55.90867941914482,37.49218927196878,45.0,67.80788942382358,33.80084151472651,8.6,Medium,53.3,SJSEnterprises,Manufacturing,sjs_enterprises_38
18.4,22.6,28.4,14.6,18.4,16.8,0.42,8.4,2.2,0.62,28.0,8.0,46.0,34.0,66.0,7.102499355774649,2.980132450331126,6.0,8.0,6.2,14.8,2,8.8,40.0,12.0,128.4,42.8,8.6,64.4,0.06,62.0,72.0,54.848640959662134,42.04492325289677,32.5,61.26960708184501,53.83356708742403,9.2,Medium,56.8,KrsnaaDiagnostics,Healthcare,krsnaa_diagnostics_39
12.4,14.6,38.4,28.6,34.6,32.4,0.04,48.4,3.8,0.82,22.0,4.0,60.0,60.0,40.0,7.716460800176355,0.08136696501220504,14.0,18.0,4.8,16.4,1,9.0,38.0,18.0,46.99,46.99,13.4,46.99,0.07,70.0,88.0,69.69656515581877,34.34957330250365,72.5,99.7872340425532,61.62537011064361,18.6,Medium,68.2,CAMS-ComputerAgeManagementServices,Fintech,cams_computer_age_management_s_40
14.6,18.4,14.8,8.4,12.4,10.8,0.18,8.4,1.8,0.48,28.0,8.0,100.0,100.0,0.0,6.709304340258298,1.0752688172043012,8.0,10.0,2.8,18.4,9,8.5,38.0,24.0,96.4,22.4,5.8,42.4,0.1,62.0,84.0,46.870261655003205,37.49218927196878,22.5,62.54620282652586,52.14274583138538,11.8,Medium,52.5,RailTelCorporation,ITServices,railtel_corporation_41
28.4,-12.4,12.4,-8.6,-4.2,-2.8,1.28,-1.4,0.8,1.68,8.0,16.0,52.0,20.0,80.0,6.698268054115413,1.694915254237288,78.0,86.0,-4.2,22.4,6,9.0,44.0,16.0,156.65,156.65,18.6,156.65,0.06,78.0,124.0,33.743635226153145,36.96927193565075,0.0,47.753533157322565,73.0871123577996,91.8,Low,54.9,BurgerKingIndia,Consumer,burger_king_india_42
22.4,38.6,22.4,18.2,28.4,32.6,0.04,38.4,4.2,0.62,14.0,2.0,62.0,18.0,82.0,6.1675164908883415,0.30927835051546393,16.0,20.0,5.8,15.6,3,8.8,40.0,24.0,42.6,26.4,7.8,33.68,0.14,72.0,96.0,62.43887976696922,51.12577383710948,87.5,90.66314645131231,64.58625525946705,21.2,Low,65.7,IndiaMartInterMesh,E-Commerce,indiamart_intermesh_43
28.4,34.6,42.4,28.6,14.6,12.8,4.8,2.8,1.4,0.14,0.0,0.0,74.0,24.0,76.0,7.930565854233965,2.023121387283237,10.0,14.0,5.6,14.8,4,8.5,40.0,14.0,34.4,9.4,3.2,17.21,0.18,65.0,72.0,57.99593548103455,54.376679343058164,12.499999999999998,32.862245690324585,67.39130434782608,17.2,Medium,62.0,AptusValueHousingFinance,BFSI,aptus_value_housing_finance_44
8.4,-22.4,12.4,-8.4,-4.2,-2.8,0.08,-2.4,4.8,0.38,18.0,4.0,46.0,100.0,0.0,8.006367567650246,2.082018927444795,-6.0,-2.0,7.2,13.8,3,8.0,40.0,14.0,30.4,18.6,6.4,20.29,0.22,60.0,68.0,33.77914658978951,17.490944940513167,100.0,53.22410312160273,58.461898083216454,-9.8,High,46.6,CarTradeTech,E-Commerce,cartrade_tech_45
18.4,-12.4,6.4,-2.8,-1.8,-0.8,0.12,-0.6,1.2,0.18,0.0,0.0,58.0,48.0,52.0,8.88875674784872,0.0,-4.0,-2.0,-1.4,17.6,9,9.0,44.0,14.0,93.4,56.2,14.6,79.28,0.06,55.0,198.0,34.81919980500386,29.08196028993381,7.499999999999998,54.65367293057928,67.8743961352657,-6.8,High,47.5,StarHealthandAlliedInsurance,Insurance,star_health_and_allied_insuran_46
8.4,-18.4,12.4,4.8,4.2,3.8,1.84,2.4,1.4,0.22,62.0,0.0,58.0,60.0,40.0,6.398594934535208,4.424778761061947,-8.0,-4.0,-2.4,19.8,7,7.5,36.0,28.0,5.72,4.64,2.82,5.74,0.42,50.0,62.0,40.87085889492549,18.97242642199465,9.999999999999998,48.24196303773878,35.02415458937198,-12.4,High,42.4,ShriramProperties,Infrastructure,shriram_properties_47
8.4,-14.6,18.4,4.8,4.2,3.8,1.62,2.2,1.4,0.62,42.0,28.0,58.0,58.0,42.0,8.517393171418904,1.7857142857142856,-2.0,0.0,3.2,16.8,7,8.0,38.0,52.0,2.26,2.16,2.44,2.73,0.62,52.0,84.0,42.21977975823485,20.379833829402056,9.999999999999998,49.22969405187141,35.55399719495092,-3.8,High,43.8,NuvocoVistasCorporation,Infrastructure,nuvoco_vistas_corporation_48
14.6,8.4,14.2,8.4,12.4,10.8,0.42,6.4,1.8,0.88,38.0,42.0,52.0,52.0,48.0,5.996452088619021,2.6785714285714284,-4.0,-2.0,3.4,16.8,2,7.8,38.0,20.0,12.42,9.84,3.12,10.62,0.32,52.0,48.0,46.73536956867227,33.788485568265074,22.5,59.444789563596835,33.3177497272869,-10.8,High,45.6,WindlasBiotech,Healthcare,windlas_biotech_49
8.4,-18.4,8.4,2.4,4.2,3.8,2.84,1.4,1.2,0.62,48.0,42.0,46.0,68.0,32.0,6.523562306149512,5.421686746987952,-22.0,-14.0,0.8,18.6,1,7.5,36.0,24.0,0.42,0.88,1.48,1.48,0.82,42.0,52.0,39.54544195574957,18.97242642199465,4.999999999999999,42.01040534244448,24.8013090229079,-39.2,High,37.3,AGSTransactTechnologies,Fintech,ags_transact_technologies_50
28.4,38.6,38.4,26.4,36.4,34.2,0.28,18.4,3.8,0.88,32.0,42.0,62.0,22.0,78.0,6.2166061010848646,3.3962264150943398,88.0,96.0,7.2,14.2,2,9.0,42.0,14.0,71.52,71.52,44.2,71.52,0.06,84.0,84.0,70.45193207834791,55.85816082453964,72.5,71.13837552414971,36.543556178899806,116.4,Low,67.7,SupriyaLifescience,Healthcare,supriya_lifescience_51
22.4,14.6,14.8,4.8,8.4,7.2,0.18,4.8,1.4,0.18,0.0,0.0,48.0,52.0,48.0,7.869019376499023,5.426356589147287,2.0,4.0,3.8,15.4,9,8.8,40.0,14.0,20.4,8.6,2.8,13.41,0.28,58.0,96.0,43.817741726150565,42.23688494822059,12.499999999999998,59.26153129367914,67.8743961352657,4.8,Medium,52.9,GoDigitGeneralInsurance,Insurance,go_digit_general_insurance_52
14.6,8.4,8.4,3.8,8.4,7.2,1.28,3.2,1.4,0.68,48.0,38.0,66.0,34.0,66.0,8.599878558034845,5.227272727272727,-4.0,-2.0,2.8,15.8,7,8.5,40.0,58.0,3.82,2.14,0.98,2.64,0.64,52.0,128.0,42.20133598710544,33.788485568265074,9.999999999999998,51.95061344929337,27.676484338475927,-8.6,High,42.2,AfconsInfrastructure,Infrastructure,afcons_infrastructure_53
18.4,22.6,28.4,14.8,8.4,7.8,2.42,2.8,1.2,0.18,0.0,0.0,100.0,100.0,0.0,9.210440366976517,5.88235294117647,0.0,2.0,4.2,15.2,9,8.5,38.0,44.0,2.5,2.08,2.4,2.55,0.64,55.0,168.0,48.85086386480328,42.04492325289677,7.499999999999998,45.52182015840969,67.8743961352657,3.2,Medium,54.5,NTPCGreenEnergy,RenewableEnergy,ntpc_green_energy_54
18.4,22.6,24.8,14.2,12.4,10.8,0.42,8.4,1.8,0.62,32.0,8.0,0.0,100.0,0.0,7.653494909661253,7.142857142857142,2.0,4.0,3.8,15.4,2,8.5,40.0,18.0,4.82,2.68,1.14,3.06,0.52,58.0,88.0,50.14829263930666,42.04492325289677,22.5,61.26960708184501,51.68302945301543,5.2,Medium,52.8,SagilityIndia,Healthcare,sagility_india_55
18.4,22.6,22.4,8.4,8.4,7.2,7.84,1.6,1.2,0.12,0.0,0.0,40.0,34.0,66.0,6.3473892096560105,5.343511450381679,4.0,6.0,2.8,16.8,4,7.8,36.0,20.0,16.4,6.8,2.4,9.41,0.34,58.0,62.0,46.16557936513029,42.04492325289677,4.999999999999999,15.597142413418236,67.14975845410628,9.8,Medium,53.9,JanaSmallFinanceBank,BFSI,jana_small_finance_bank_56
22.4,28.6,18.4,8.4,12.4,10.8,3.84,2.8,1.4,0.18,0.0,0.0,58.0,28.0,72.0,5.0238805208462765,5.263157894736842,4.0,6.0,3.2,16.4,4,7.5,36.0,14.0,42.4,14.8,4.2,22.4,0.18,60.0,42.0,47.679614172988806,47.42207013340577,9.999999999999998,37.96862866904799,67.8743961352657,7.8,Medium,55.4,ManbaFinance,BFSI,manba_finance_57
14.6,8.4,18.4,6.4,8.4,7.2,6.84,1.4,1.2,0.12,0.0,0.0,52.0,18.0,82.0,6.439350371100098,5.592105263157895,-2.0,0.0,2.4,16.8,4,7.8,36.0,14.0,3.84,2.62,1.42,2.86,0.52,54.0,48.0,44.91118515322709,33.788485568265074,4.999999999999999,20.733809597763635,67.14975845410628,-4.8,High,52.1,FincareSmallFinanceBank,BFSI,fincare_small_finance_bank_58
18.4,22.6,18.4,10.4,18.4,16.8,0.62,8.4,1.8,0.88,42.0,48.0,50.0,18.0,82.0,6.90875477931522,5.079365079365079,4.0,6.0,4.2,15.6,5,8.5,40.0,28.0,178.2,28.4,8.8,59.49,0.08,62.0,68.0,51.854700884449585,42.04492325289677,22.5,60.20577729461096,27.94140564126539,8.2,Medium,50.1,JyotiCNCAutomation,Manufacturing,jyoti_cnc_automation_59
22.4,28.6,18.4,12.4,22.4,20.8,0.28,12.4,2.4,1.24,38.0,42.0,62.0,18.0,82.0,7.0909098220799835,5.333333333333334,32.0,38.0,6.4,14.2,6,9.0,42.0,28.0,154.4,68.4,18.2,93.84,0.06,74.0,84.0,54.75646323754464,47.42207013340577,35.0,65.66392296940519,37.66557581424342,43.2,Low,57.1,DOMSIndustries,Consumer,doms_industries_60
18.4,22.6,22.4,14.8,28.4,26.6,0.18,14.4,2.8,1.28,38.0,28.0,22.0,28.0,4.8,2.760009940032921,0.0,38.0,68.0,78.0,15.6,6,8.5,40.0,18.0,185.2,54.8,16.4,91.07,0.06,68.0,88.0,59.835186585151035,42.04492325289677,45.0,68.02065538127039,45.67554932211314,24.4,Low,59.5,CelloWorld,Consumer,cello_world_61
18.4,22.6,22.4,12.8,18.4,16.8,0.84,6.4,1.8,0.82,38.0,38.0,24.0,30.0,5.4,2.760009940032921,0.0,38.0,70.0,118.0,15.6,2,8.5,40.0,18.0,155.8,28.4,8.8,66.79,0.06,68.0,88.0,53.18011782362551,42.04492325289677,22.5,57.21074701040534,34.74364968053607,32.6,Low,53.9,EmcurePharmaceuticals,Healthcare,emcure_pharmaceuticals_62
